row_id,epic,test_case,surface_path
1,model,Console bare URL → lands `/dashboard` signed-in as the owner (no PIN/login form).,products/catalyst/bootstrap/ui/src/**/ProfileMenu + live:catalyst-ui image tag
3,model,The voucher-redeem URL on an authed owner session server-redirects to `/dashboard` (no redeem form for the owner).,core/marketplace/src/pages/redeem.astro + the UAT clause wording
4,model,"App page tab strip generality: open ≥2 archetypes (a DB `shared-pg`, a consumer `harbor`) → identical tab strip; consumer Dependencies shows `Depends on: shared-pg / db:<ctx>`.",products/catalyst/bootstrap/api/internal/handler (dependsOn fallback) + live:catalyst-api image tag
5,model,"Organizations directory: the customer Org row shows KIND=customer, TIER=sme, BILLING=real, ISOLATION=vcluster, STATUS=active.",products/catalyst/chart/crds/organization.yaml:118-120 or the UAT clause wording (#5847)
6,model,The customer Org is present as a real Organization in the operator directory (same record dashboard + showback read).,products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/OrganizationsDirectoryPage.tsx + live:catalyst-api GET /api/v1/organizations
8,model,"The Create-organization form renders fully (kind picker, slug, Company name, Admin email, parent-domain).",products/catalyst/bootstrap/ui/src/pages/org/CreateOrganizationPage.tsx
9,model,"Org detail Status = active, backed by a real `vcluster` isolation (the create→Provision loop produced a live backing, not a fake-green).",core/controllers/organization + live:hw292 statefulset uatco/vcluster
13,model,Catalog grid renders the Blueprint cards; `bp-postgres` detail has a **+ New instance** button.,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx
14,model,The shared-PG reuse model is LIVE: the `shared-pg` app **Contexts** tab shows multiple consumers sharing ONE PostgreSQL.,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail + live:shared-data/shared-pg CNPG
15,model,Apps list renders one card per Application (all Platform/BOOTSTRAP-… a customer-launched app card would appear under its Org.,products/catalyst/bootstrap/api handler sovereignAppItem.Org + AppsPage.tsx + live:catalyst-ui image tag
16,model,A customer app page (`/app/<name>`) → Settings/Topology → change topology → Save persists; the canonical tab strip includes a Topology tab.,live:hw292 customer app page /app/uatco-agenity — needs one browser walk
18,model,"Scan every treemap cell: NO ephemeral Job-pod cell appears (no `cutover-*`, scan-vulnerabilityr… `*-snapshot-save-*`).",live:hw292 console treemap — one authed scan of /dashboard
19,model,Count Application cards: one card per `Application` (NOT one per HelmRelease/pod); bootstrap apps carry a Platform/Bootstrap badge.,products/catalyst/bootstrap/ui/src/pages/sovereign/AppsPage.tsx + applicationCatalog.ts — or the clause (owner call #5867)
20,model,"With a customer Org present, the customer estate is visually distinct from platform pods on the treemap.",products/catalyst/bootstrap/api/internal/handler/org_consumption.go (orgForRow) + products/catalyst/bootstrap/ui/src/pages/sovereign/Dashboard.tsx
21,model,Organizations Showback panel: the **Application** column for a selected Org lists only that Org's real apps (no cluster-wide infra/Job pods).,products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/ShowbackPanel.tsx
22,model,Showback shows a single visually-distinct **Platform overhead** roll-up line holding all control-plane/Job workloads.,products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/ShowbackPanel.tsx
23,model,"After a 2nd Org runs an app, the showback panel shows a SECOND Org row attributed only to its own app, distinct from Platform overhead.",products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/ShowbackPanel.tsx
24,model,`shared-pg` renders the canonical tab strip Overview · Contexts · Topology · Dependencies (Contexts tab present only for shareable blueprints).,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail
25,model,"One consistent model across surfaces: `/organizations` shows the Orgs that `/apps`, the dashboard and showback all agree on.",products/catalyst/bootstrap/api consumptionParentOrg + mergeOrgResponses + live:catalyst-api image tag
26,sso,"Console bare URL → lands on the dashboard signed-in as the owner; no PIN/login/""Sign in with…"" button.",products/catalyst/bootstrap/ui/src/pages/sovereign/Dashboard.tsx + catalyst-api PIN auth
27,sso,"Avatar (top-right) menu reads ""Signed in as the owner"" with a Sign-out item.",products/catalyst/bootstrap/ui/src/widgets/auth/ProfileMenu.tsx
28,sso,"Users page renders the pre-seeded owner row the owner (tier=owner UserAccess CR), signed-in admin.",products/catalyst/bootstrap/ui/src/pages/admin/user-access/UserAccessListPage.tsx
29,sso,"Re-open the bare console URL after the session TTL → lands signed-in again, no PIN re-prompt.",products/catalyst/bootstrap/ui/src/router.tsx:287 markAuthed staleness + live:catalyst-ui image tag
30,sso,"Grafana bare URL → lands on Grafana Home, full UI, no login form; left nav shows Administration; user menu = the owner.",clusters/_template/bootstrap-kit/25-grafana.yaml
31,sso,"Gitea bare URL → lands on the gitea dashboard titled ""emrah.baysal — Dashboard"", no login; profile menu exposes Site Administration; stays on :443.",clusters/_template/bootstrap-kit/10-gitea.yaml
32,sso,"Harbor bare URL → lands on `/harbor/projects`, no login form; user dropdown the owner with Administration menus.",clusters/_template/bootstrap-kit/19-harbor.yaml
33,sso,"OpenBao bare UI → lands in an authenticated Vault session (Secrets engines / dashboard), NO token-entry form (an in-transit ""Signing in…"" shim is allowed).",live:OpenBao policy bound to the OIDC role (sys/internal/ui/mounts read)
34,sso,"Keycloak admin console for the **sovereign** realm → lands inside the admin console (realm overview / Users / Clients), no master-realm login.",clusters/_template/bootstrap-kit/09-keycloak.yaml + live:keycloak-realm
35,sso,"Guacamole bare URL → lands on the Guacamole connections list, signed-in; no Tomcat 404, no `/guacamole/` login page.",clusters/_template/bootstrap-kit/13c-bp-oidc-gate.yaml (guacamole instance) + 52-bp-guacamole.yaml
36,sso,"PowerDNS-Admin bare URL → lands on the dashboard signed-in; no redirect loop, no OAuth error, no `Log In` page.",clusters/_template/bootstrap-kit/13c-bp-oidc-gate.yaml:205-209 (powerdns-admin instance)
37,sso,"newapi bare URL (1st hit) → lands on `/console` signed-in as admin (role 100); no ""Unknown OAuth provider"", no login page.",platform/newapi (oidc-gate fronting vs native keycloak client) + live:flux bp-newapi HelmRelease
38,sso,"newapi bare URL (2nd hit, re-entry) → lands on `/console` again signed-in; NOT an ""already bound"" / re-link error / `/setup` wizard.",see row 37
39,sso,"Hubble bare URL → lands on the Hubble UI, authenticated (not an anonymous/unauth view, no login page).",clusters/_template/bootstrap-kit/01-cilium.yaml (catalystOverlay.hubbleUI.auth line 535)
40,sso,"Marketplace bare URL → renders the anonymous storefront (public, by design); confirm no spurious login UI is forced.",core/marketplace/src/pages/index.astro
41,sso,Keycloak sovereign realm → Users lists the single owner principal the owner (enabled).,live:keycloak sovereign realm user set + core org/useraccess signup path (#5883)
42,sso,Owner user → Groups tab shows membership in `/sovereign-admins` (alongside `/openova-users`) — the source of admin authority.,platform/keycloak/chart/templates/configmap-sovereign-realm.yaml + live:keycloak-realm
43,sso,Owner user → Role mapping tab: effective realm roles include `catalyst-admin` (not only default-roles/uma/o…,platform/keycloak/chart/templates/configmap-sovereign-realm.yaml + live:keycloak-realm
44,sso,"Groups → `/sovereign-admins` → Role mapping: group confers `catalyst-admin` (console) and realm-management `realm-admin` (KC console) — one source, both grants.",platform/keycloak/chart/templates/configmap-sovereign-realm.yaml + live:keycloak-realm
45,sso,"Console Users panel: owner row + the ability to view/manage users renders — proving console admin nav is driven by the realm principal, not a self-signed constant.",products/catalyst/bootstrap/ui/src/pages/admin/user-access/UserAccessListPage.tsx + SovereignSidebar.tsx
46,topology,`bp-postgres` catalog detail renders; click **New instance** → the create dialog opens with a topology `<select>`.,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/InstancesSection.tsx
47,topology,"Topology `<select>` options read exactly the ONE canonical vocabulary: `singleton`, `active-passive`, `active-hot-standby`, `active-active` (no `single-region`/`act…).",products/catalyst/bootstrap/ui/src/widgets/topology/modes.ts
48,topology,`active-passive` is a selectable option in the create `<select>` (not folded away).,live:hw292 catalog create dialog for bp-wordpress-tenant — one browser assertion
49,topology,"`singleton` is a separate selectable option (single-region single-instance), distinct from the multi-region modes.",products/catalyst/bootstrap/ui/src/widgets/topology/modes.ts
50,topology,"Pick `active-hot-standby`, name the instance, Provision → the create succeeds (toast/redirect to the new app card), NOT a red `topology not in supported [...]` error.",products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx + live:Application/uat-ahs-pg
51,topology,"`shared-pg` Topology tab renders a per-region placement view listing region-a (active) and region-b (standby) as ONE placement, not two separate instances.",products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx + live:Continuum/dr-shared-pg
53,topology,Open a per-app Topology tab and read its placement view (singleton apps note no per-region/standby surface).,products/catalyst/bootstrap/api derivePattern (Go) + live:catalyst-api image tag
54,topology,`shared-pg` Topology tab declared-topology strip renders the canonical mode in ONE vocabulary — header dialect and picker dialect MATCH (no `singleton` header over an `active-hotstandby` chip).,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx
56,topology,"`shared-pg` Topology tab per-region placement + replication block: region-a primary, region-b replica, and a live replication-lag in seconds (not a hardcoded `—`).",products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx + live:Continuum/dr-shared-pg
58,topology,"A **singleton** app (cilium) Topology tab: the DR section / Switchover button does NOT render (honestly hidden, not armed against a phantom region).",products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx
59,topology,"Catalog New instance → pick `singleton` → Provision → that app's Topology tab shows single-region placement (no region-b standby, no Switchover).",platform/postgres/chart/templates/_helpers.tpl:7 + the wizard instance.name pass-through
60,topology,Catalog New instance → pick `active-hot-standby` → Provision → that app's Topology tab shows a 2-region pair (region-a primary + region-b replica + armed Switchover).,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx
61,topology,"Apps grid shows newly-provisioned postgres instances as their own cards, each carrying a topology badge matching the mode picked at create time.",products/catalyst/bootstrap/ui/src/pages/sovereign/AppsPage.tsx
62,topology,"On an app WITH a live pair, the Topology DR section shows the live Continuum status (Ready / lease holder / standby) from the live API, not a static badge.",products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx:502/871/901 + live:catalyst-ui image tag
64,topology,"`shared-pg` Topology tab replication-lag field shows a live numeric seconds value (or explicit ""no replica""), never a hardcoded `—`.",products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail/TopologyTab.tsx + live:Continuum/dr-shared-pg
65,topology,Cloud/regions view shows the true region count — a healthy 2-region prov reads `Cluster 2/2` with no phantom region-B bubble.,products/catalyst/bootstrap/ui/src/pages/sovereign/CloudPage.tsx
66,topology,"Cloud→Clusters renders 2/2 HEALTHY clusters, one per region (me-east-215-a + me-east-215-b), no phantom region.",products/catalyst/bootstrap/ui/src/pages/sovereign/CloudPage.tsx
