cycle_ts,env,dep,milestone,denominator,PASS,FAIL,PARTIAL,NOTRUN,SUPERSEDED,PENDING,pct_green
2026-08-09 23:10:00,hw292,1c56518035a83e03,,286,208,78,0,0,0,0,72.7
2026-08-10 10:55:52,hw292,1c56518035a83e03,,286,194,76,0,16,0,0,67.8
2026-08-10T16:43:11Z,hw293,a0077ba47e3720e5,merge drain: 5 walk PRs + #6025 cutover 1MiB root fix landed,286,137,90,0,59,0,0,47.9
2026-08-10T22:43:08Z,hw293,a0077ba47e3720e5,19 PRs merged: #6004 cutover 1MiB + #6050 deploy SIGPIPE + #6044 conflict markers; umbrella publishing again,286,190,84,0,12,0,0,66.4
2026-08-11T06:13:14Z,hw293,a0077ba47e3720e5,G12 region-kill banked 6/6 zero-touch; mothership Flux revived after 9.5d; kubeconfig usability contract unified,286,206,79,0,1,0,0,72.0
2026-08-12 06:20:00,hw294,336e2891743d6c98,"no live Sovereign (hw293 wiped, hw294 terminal); bp-keycloak 1.5.10 merged but unpublished — no Actions runner",286,196,76,0,14,0,0,68.5
2026-08-12 10:44:11,hw295,952c564cab38d320,"FRESH PROV FIRED — hw294 wiped, hw295 provisioning (phase1-watching); mothership Keycloak restored + realm tier-roles bootstrapped",286,196,76,0,14,0,0,68.5
2026-08-12T14:09:01Z,hw295,952c564cab38d320,,286,246,38,0,2,0,0,86.0
2026-08-12T14:21:37Z,hw295,952c564cab38d320,,286,232,37,1,16,0,0,81.1
2026-08-12T16:43:18Z,hw295,952c564cab38d320,,286,240,34,3,9,0,0,83.9
2026-08-12T22:43:29Z,hw295,952c564cab38d320,"owner session restored via PIN in a Stalwart uptime window (#6197); cutover fired, failed step-03 circular deadlock (#6198, fix PR #6199)",286,252,28,5,1,0,0,88.1
2026-08-13T04:43:19Z,hw295,952c564cab38d320,step-03 cleared: #6198 fixed+proven live; #6202 + #6211 filed,286,252,18,15,1,0,0,88.1
2026-08-13T10:43:13Z,hw295,952c564cab38d320,,286,252,18,15,1,0,0,88.1
2026-08-13T16:44:11Z,hw296,e689e3b34a75fdec,fresh prov hw296 fired 16:14:44Z; hw295 wiped 16:12:43Z,286,228,18,14,26,0,0,79.7
2026-08-13T23:25:21Z,hw296,e689e3b34a75fdec,25 SSO rows re-proven + G7/234 closed; funnel+vcluster mail defect #6278 found,286,254,5,12,7,0,8,88.8
2026-08-14 09:22:00,hw296,e689e3b34a75fdec,,286,278,6,0,2,0,0,97.2
2026-08-14 10:44:53,hw296,e689e3b34a75fdec,"hw296 wiped — pre-fire, train at cutover 0.1.188 / umbrella 1.4.1496",286,278,6,0,2,0,0,97.2
2026-08-14 22:44:23,hw298,2540d866403f1f7c,"cutover fired: 10/11 steps succeeded, egress-block-test FAILED at 138s of a 600s hold (#6332 refusing a false PASS)",286,278,7,0,1,0,0,97.2
