row_id,verdict,artifact_path,artifact_exists,layer_match,surface_path,reason,artifact_shared_with
1,BACKED,commit 3bdff5474 (#5825),yes,yes,products/catalyst/bootstrap/ui/src/**/ProfileMenu + live:catalyst-ui image tag,Sign-in-button residual fixed on main by 3bdff5474 but git merge-base proves it is NOT in the deployed catalyst-ui:fad88bd (built 2026-08-02); deploy-gated so the partial still reflects the running console,
3,LAYER-MISMATCH,core/marketplace/src/pages/redeem.astro,yes,no,core/marketplace/src/pages/redeem.astro + the UAT clause wording,Clause asserts a SERVER redirect; redeem.astro:233-250 documents a deliberate CLIENT-side bounce in a static build so no SSR redirect can ever exist — live curl confirms 200 with empty redirect_url; the unblock half 'drive checkout so a customer Org exists' is also stale (uatco + walk-stranger-two are live customer Orgs),216
4,BACKED,commit d94b8a2a1 (PR #5801),yes,yes,products/catalyst/bootstrap/api/internal/handler (dependsOn fallback) + live:catalyst-api image tag,Dependencies-clause fix d94b8a2a1 is on main but merge-base --is-ancestor d94b8a2a1 fad88bd returns false and the cluster still runs catalyst-api:fad88bd; the row cannot flip on the running image,
5,BACKED,docs/sessions/2026-08-08/hw292-orgs/hw292-orgs-directory.png,yes,yes,products/catalyst/chart/crds/organization.yaml:118-120 or the UAT clause wording (#5847),"Verified at the schema: tier enum is [org, corporate] so the asserted value 'sme' is unrepresentable (and is a GLOSSARY banned term); 4 of 5 clauses pass and the residual is an obsolete assertion needing owner adjudication",
6,BACKED,(inline verbatim; no file),n/a,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/organizations/OrganizationsDirectoryPage.tsx + live:catalyst-api GET /api/v1/organizations,Final 2026-08-08 authed stamp returns 3 concrete records with uatco kind=customer tier=org billing_mode=real isolation=vcluster status=done; graded at the API the directory renders from rather than the rendered page; the long ⛔/☐ history above it is superseded,
8,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row8-create-organization-form.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/org/CreateOrganizationPage.tsx,Every field the clause names is enumerated verbatim (kind picker with both option labels; slug; Company name; Admin email; parent-domain combobox) and the row-id-named screenshot exists with a unique hash,
9,BACKED,(inline kubectl; no file),n/a,partial,core/controllers/organization + live:hw292 statefulset uatco/vcluster,The anti-fake-green half is the strongest evidence in the batch — StatefulSet 1/1 plus HR Ready=True with TWO discriminating controls (internal Org returns no StatefulSet and an empty .status.vcluster; 53 of 71 region-A HRs are Ready=False); but the clause's 'Org detail Status = active' console half carries no hw292 stamp and the note itself says a UI screenshot proves nothing here,
13,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row13-catalog-postgres-newinstance.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/CatalogDetail.tsx,I opened the PNG: it shows /catalog/bp-postgres with the '+ New Instance' button and a 5-row live instances table; the catalog-grid half is delegated to rows 124/125 whose own screenshot (row124-catalog-grid.png) is on disk,50 151
14,BACKED,docs/sessions/2026-08-06/hw292-screenshots/row14-sharedpg-contexts-multiple-consumers.png,yes,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppDetail + live:shared-data/shared-pg CNPG,Proven below the UI: three consumer secrets decoded to the SAME host shared-pg-mesh-rw.shared-data.svc with distinct dbnames registry/gitea/keycloak over one CNPG cluster instances=3 ready=3 — a real many-to-one demonstration; screenshot unique,
15,BACKED,commit 3052b58bd (#5814),yes,yes,products/catalyst/bootstrap/api handler sovereignAppItem.Org + AppsPage.tsx + live:catalyst-ui image tag,Org-attribution chip fix 3052b58bd is on main and NOT in fad88bd; the second clause (uatco cards absent entirely) is also unfixed — live kubectl confirms 6 customer Applications across uatco and walk-stranger-two that the grid does not render,
16,SUPERSEDED-STALE,none (hw291 evidence; env wiped 2026-08-03),no,no,live:hw292 customer app page /app/uatco-agenity — needs one browser walk,Blocking claim 'zero customer Applications exist' was measured on hw291 which was wiped 2026-08-03; hw292 today has SIX customer Applications (uatco-agenity Ready; uatco-openclaw Ready; uatco-mail Degraded; uatco/uat231-singleton-pg Ready; walk-stranger-two/uat225-newapi; walk-stranger-two/uat231-singleton-pg) under two customer-kind Orgs; the tab-strip sub-clause was already proven healthy so nothing blocks this row,
18,RE-GREENABLE,commit 6844b38f6 (#5485 defects 2+3),yes,no,live:hw292 console treemap — one authed scan of /dashboard,Stated blocker is 'code half done; live console half still needs a Sovereign' — hw292 is live AND merge-base proves 6844b38f6 IS an ancestor of the deployed catalyst-api:fad88bd; the scan is also non-vacuous right now because two matching ephemeral Job pods are live (catalyst/cutover-daytwo-bootstrap-01-4jkl7; openbao/openbao-snapshot-save-29771630-pzf77),
19,BACKED,none (API + kubectl counts),n/a,yes,products/catalyst/bootstrap/ui/src/pages/sovereign/AppsPage.tsx + applicationCatalog.ts — or the clause (owner call #5867),Grid renders blueprint SLOTS not Application CRs by design; live kubectl confirms the row's stated backing data exactly (17 Application CRs vs 75 HelmReleases) so the model-vs-grid disagreement is real and needs a product decision not a patch,
