row_id,test_case,epic,verdict_now,evidence_0627,evidence_now
R1,"catalyst-api orphan-sweep no longer reaps a `ready` Sovereign — denylist inversion (`case ""wiped"": eligible; default: protect`) holds on the live env.",janitor,⛔,dep 91dc0591 survived convergence + steady-state; janitor log shows ZE,"mothership-2026-08-01: REASON CORRECTED — the prior note said ""not obs"
R11,gitea git-data is PRESERVED across the host-ns re-home (#4325 de-vcluster) — no empty-PVC data loss.,gitea,⛔,gitea repos intact post-re-home; EVS PVC migrated-not-recreated; catal,hw291-2026-07-30: BLOCKED PERMANENTLY - there is no re-home event to s
R16,the funnel + BSS Org doors are collapsed onto ONE path — `console.<slug>` lands 200.,funnel,⚠,console.uatwalk91.omani.homes → HTTP 200 valid per-Org LE cert; both d,hw292-2026-08-06T01:50Z ‖ COLLAPSE-ONTO-ONE-PATH RE-CONFIRMED on a liv
R17,deleting an Organization CR cascades cleanly — no orphaned ns / app / DNS leak.,orgs,❌,Org CR delete → app ns + per-Org DNS + registry entry reaped; no orpha,"hw292-2026-08-04T01:4xZ LIVE RE-WALK, cause now exact rather than 'hal"
R19,sandbox-controller reaches Running (was CrashLoop on unset CATALYST_GITEA_TOKEN).,sandbox,⛔,sandbox-controller pod 1/1 Running; the gitea-token env is bridged int,hw288-2026-07-25: SUPERSEDED — live kubectl region-a: 0 sandbox-contro
R22,bp-plane-isolation admits apiserver-egress + gateway-ingress CNPs — CNPG admission + gateway hop succeed.,plane-isolation,⚠,CNPG operator reaches kube-apiserver (no x509/context-deadline); gatew,hw292-2026-08-06T01:32Z ‖ REPRODUCES hw290 EXACTLY — this is (a) genui
1,Console bare URL → lands `/dashboard` signed-in as the owner (no PIN/login form).,model,⚠,"§G 91dc0591: handover → /dashboard signed-in as owner, no PIN/login. u","hw292-2026-08-03T12:31Z POST-CUTOVER (dep 1c56518035a83e03, cc=true 08"
4,"App page tab strip generality: open ≥2 archetypes (a DB `shared-pg`, a consumer `harbor`) → identical tab strip; consumer Dependencies shows `Depends on: shared-pg / db:<ctx>`.",model,⚠,§G/§H 91dc0591: shared-pg (DB) + harbor (consumer) render identical ta,"hw292-2026-08-06T01:53Z RE-WALK (dep 1c56518035a83e03, cc=true, authed"
5,"Organizations directory: the customer Org row shows KIND=customer, TIER=sme, BILLING=real, ISOLATION=vcluster, STATUS=active.",model,⚠,2026-06-27 91dc0591: /api/v1/organizations returns uatwalk91 row kind=,"hw292-2026-08-08 LIVE BROWSER + API WALK (dep 1c56518035a83e03, authed"
15,Apps list renders one card per Application (all Platform/BOOTSTRAP-… a customer-launched app card would appear under its Org.,model,⚠,"§G 91dc0591: /apps renders one card per Application (45 apps), each BO","hw292-2026-08-06T01:47Z RE-WALK (dep 1c56518035a83e03, authed owner, /"
18,"Scan every treemap cell: NO ephemeral Job-pod cell appears (no `cutover-*`, scan-vulnerabilityr… `*-snapshot-save-*`).",model,⚠,"§E 91dc0591: treemap 28 cells, all long-lived; DOM scan confirms zero ",repo-2026-08-01: CODE HALF VERIFIED (live console half still needs a S
19,Count Application cards: one card per `Application` (NOT one per HelmRelease/pod); bootstrap apps carry a Platform/Bootstrap badge.,model,⚠,§G 91dc0591: one card per Application (not per HelmRelease/pod); BOOTS,"hw292-2026-08-06T01:47Z RE-WALK (dep 1c56518035a83e03, authed owner, /"
25,"One consistent model across surfaces: `/organizations` shows the Orgs that `/apps`, the dashboard and showback all agree on.",model,⚠,2026-06-27 91dc0591: directory list (2) and detail (uatwalk91 200) agr,"hw292-2026-08-06T01:55Z RE-WALK (dep 1c56518035a83e03, authed owner, f"
29,"Re-open the bare console URL after the session TTL → lands signed-in again, no PIN re-prompt.",sso,❌,2026-06-27 91dc0591 (3-agent batch): bare-URL re-entry → lands /dashbo,hw292-2026-08-08 LIVE BROWSER WALK (Playwright). CORRECTS AN EARLIER S
33,"OpenBao bare UI → lands in an authenticated Vault session (Secrets engines / dashboard), NO token-entry form (an in-transit ""Signing in…"" shim is allowed).",sso,⚠,2026-06-27 91dc0591 (Refs #909): #4519/#4522 ROLLED LIVE — bp-openbao@,"hw292-2026-08-08 LIVE BROWSER WALK (Playwright, dep 1c56518035a83e03),"
37,"newapi bare URL (1st hit) → lands on `/console` signed-in as admin (role 100); no ""Unknown OAuth provider"", no login page.",sso,❌,2026-06-27 91dc0591: #4477 `resync_provider_secret()` (chart bp-newapi,hw292-2026-08-03T22:10-22:22Z LIVE BROWSER WALK (Playwright). never re
38,"newapi bare URL (2nd hit, re-entry) → lands on `/console` again signed-in; NOT an ""already bound"" / re-link error / `/setup` wizard.",sso,☐,2026-06-27 91dc0591 (3-agent batch): newapi bare URL → lands /console/,"hw292-2026-08-08 LIVE BROWSER SSO WALK (Playwright, dep 1c56518035a83e"
41,Keycloak sovereign realm → Users lists the single owner principal the owner (enabled).,sso,❌,2026-06-27 91dc0591: KC GET /admin/realms/sovereign/users → owner emra,hw292-2026-08-08 LIVE — CORROBORATED VIA A SECOND INDEPENDENT PATH. Th
48,`active-passive` is a selectable option in the create `<select>` (not folded away).,topology,⚠,2026-06-27 91dc0591 authed sweep: active-passive is a selectable optio,"hw292-2026-08-03: PARTIAL, split by clause on a LIVE read of the creat"
53,Open a per-app Topology tab and read its placement view (singleton apps note no per-region/standby surface).,topology,⚠,2026-06-27 91dc0591 (3-agent batch): per-app Topology tab opens + rend,"hw291-2026-07-30: PARTIAL and a NEW CAUSE, previously green. cilium re"
59,"Catalog New instance → pick `singleton` → Provision → that app's Topology tab shows single-region placement (no region-b standby, no Switchover).",topology,⚠,write-mutation walk on fresh prov 25aadcfc: provision → 201 + CR `uatw,"hw292-2026-08-06T01:52Z RE-WALK (dep 1c56518035a83e03, read-only kubec"
62,"On an app WITH a live pair, the Topology DR section shows the live Continuum status (Ready / lease holder / standby) from the live API, not a static badge.",topology,⚠,2026-06-27 91dc0591 (Refs #909): the DR section's live source is non-s,"hw292-2026-08-06T01:42Z RE-WALK (dep 1c56518035a83e03, authed owner, c"
